Light;Alga;Labeling time (sec);ADPG-0;ADPG-1;ADPG-2;ADPG-3;ADPG-4;ADPG-5;ADPG-6;glut-0;glut-1;glut-2;glut-3;glut-4;glut-5;2PG-0;2PG-1;2PG-2;FBP-0;FBP-1;FBP-2;FBP-3;FBP-4;FBP-5;FBP-6;SBP-0;SBP-1;SBP-2;SBP-3;SBP-4;SBP-5;SBP-6;SBP-7;DHAP-0;DHAP-1;DHAP-2;DHAP-3;malate-0;malate-1;malate-2;malate-3;malate-4;asp-0;asp-1;asp-2;asp-3;asp-4;G6P-0;G6P-1;G6P-2;G6P-3;G6P-4;G6P-5;G6P-6;f6p-0;f6p-1;f6p-2;f6p-3;f6p-4;f6p-5;f6p-6;g1p-0;g1p-1;g1p-2;g1p-3;g1p-4;g1p-5;g1p-6;2-OG-0;2-OG-1;2-OG-2;2-OG-3;2-OG-4;2-OG-5;R5P-0;R5P-1;R5P-2;R5P-3;R5P-4;R5P-5;PP-0;PP-1;PP-2;PP-3;PP-4;PP-5;succ-0;succ-1;succ-2;succ-3;succ-4;RuBP-0;RuBP-1;RuBP-2;RuBP-3;RuBP-4;RuBP-5;UDPG-0;UDPG-1;UDPG-2;UDPG-3;UDPG-4;UDPG-5;UDPG-6;S7P-0;S7P-1;S7P-2;S7P-3;S7P-4;S7P-5;S7P-6;S7P-7;3PGA-0;3PGA-1;3PGA-2;3PGA-3;PEP-0;PEP-1;PEP-2;PEP-3;
100 uE;Chlamy;0;12.84;0.24;0.16;0.00;0.00;0.00;0.00;209.15;0.17;0.25;1.23;0.00;0.49;2.41;0.00;0.00;39.83;0.00;0.00;0.18;0.00;0.00;0.00;81.84;0.00;0.00;0.00;0.00;0.00;0.00;0.00;25.13;0.00;0.00;0.00;81.11;0.00;0.00;0.00;0.00;85.81;0.00;0.00;0.00;0.00;118.12;0.00;0.00;0.00;0.00;0.00;0.00;24.93;1.00;0.00;0.00;0.00;0.00;0.00;32.48;0.08;0.57;0.00;0.00;0.00;0.00;18.17;0.58;0.00;0.00;0.00;0.00;7.32;0.00;0.00;0.00;0.00;0.00;6.17;0.08;0.00;0.00;0.00;0.00;36.58;0.00;0.05;0.00;0.00;187.30;4.36;0.00;0.00;0.00;0.00;51.16;0.21;0.00;0.00;0.00;0.00;0.00;13.21;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4780520.00;0.00;0.00;0.00;152409.60;573.73;0.00;0.00;
100 uE;Chlamy;0;11.26;0.00;0.00;0.00;0.00;0.00;0.00;163.78;0.97;0.00;0.00;0.00;0.00;3.53;0.00;0.00;34.77;0.00;0.00;0.09;0.20;0.00;0.00;63.75;0.00;0.00;0.00;0.00;0.00;0.00;0.00;33.02;0.29;0.00;0.00;83.39;0.00;0.00;0.00;0.00;109.11;0.00;0.00;0.00;0.00;140.88;0.00;0.00;0.00;0.00;0.00;0.00;44.27;0.00;0.00;0.00;0.00;0.00;0.00;31.49;0.00;0.00;0.00;0.00;0.00;0.00;9.97;0.12;0.00;0.00;0.00;0.00;7.95;0.00;0.00;0.00;0.00;0.00;11.47;0.50;0.00;0.00;0.00;0.00;61.02;0.09;0.00;0.00;0.00;228.82;2.47;0.00;0.00;0.00;0.00;57.66;0.00;0.00;0.18;0.00;0.00;0.00;64.64;0.23;0.55;0.00;0.00;0.00;0.00;0.00;9158640.00;13560.56;0.00;0.00;825364.00;2487.70;0.00;0.00;
100 uE;Chlamy;0;7.21;0.00;0.00;0.00;0.00;0.00;0.00;233.20;1.92;0.52;0.36;0.00;0.23;3.02;0.00;0.00;32.37;0.00;0.29;0.30;0.00;0.00;0.00;68.48;0.21;0.08;0.00;0.00;0.00;0.00;0.00;21.27;0.00;0.00;0.00;90.07;0.00;0.00;0.00;0.00;134.85;0.00;0.00;0.00;0.00;106.63;0.00;0.00;0.00;0.00;0.00;0.00;18.51;0.61;0.00;0.00;0.00;0.00;0.00;31.13;0.00;0.00;0.00;0.00;0.00;0.00;17.82;0.00;0.00;0.00;0.00;0.00;2.39;0.07;0.00;0.00;0.00;0.00;3.26;0.00;0.00;0.00;0.00;0.00;41.66;0.00;0.00;0.00;0.00;190.52;4.87;0.00;0.00;0.00;0.00;53.94;0.34;0.00;0.00;0.00;0.00;0.00;11.05;0.03;0.01;0.00;0.00;0.00;0.00;0.00;3476488.00;7762.80;0.00;0.00;135812.40;0.00;0.00;0.00;
100 uE;Chlamy;5;6.23;0.15;0.07;0.00;0.00;0.00;0.00;139.70;2.12;0.07;0.41;0.40;1.32;2.90;0.09;0.02;23.99;10.69;5.04;0.00;0.08;0.00;0.20;38.78;9.13;9.36;0.00;0.00;0.00;0.00;0.00;19.99;1.16;0.89;0.00;59.66;1.06;0.00;0.00;0.10;89.12;6.79;0.00;0.00;0.00;56.11;4.32;10.78;0.00;0.01;0.00;0.00;10.32;1.98;5.11;0.00;0.00;0.00;0.00;22.67;4.49;0.75;0.00;0.02;0.00;0.00;16.63;0.15;0.00;0.00;0.00;0.00;3.10;0.11;0.15;0.00;0.00;0.00;4.55;1.01;0.36;0.00;0.00;0.00;40.65;0.00;0.60;0.00;0.00;176.49;61.23;7.18;4.01;2.41;1.00;37.53;0.57;0.00;0.00;0.00;0.00;0.00;6.26;1.47;1.51;0.00;0.00;0.00;0.00;0.00;2560220.00;1172564.00;8690.60;0.00;160141.60;35936.12;0.00;0.00;
100 uE;Chlamy;5;6.85;0.08;0.00;0.00;0.00;0.00;0.00;124.73;0.00;0.00;0.00;0.00;0.00;3.47;0.07;0.09;21.67;17.47;3.04;0.00;0.00;0.00;0.13;24.18;10.13;9.93;1.68;1.26;0.00;0.00;0.00;31.51;10.32;0.93;0.00;86.87;1.53;0.00;0.00;0.00;116.02;11.21;0.00;0.00;0.00;107.15;7.67;2.58;0.00;0.00;0.00;0.00;28.35;4.47;5.72;0.00;0.00;0.00;0.00;25.98;4.64;1.15;0.00;0.00;0.00;0.00;13.59;0.27;0.09;0.03;0.00;0.00;8.39;1.47;0.00;0.00;1.13;0.00;8.37;2.74;0.55;0.00;0.00;0.00;100.81;0.99;0.88;0.00;0.00;180.50;44.10;7.92;0.48;0.55;0.29;50.61;0.53;0.00;0.00;0.40;0.00;0.00;33.10;11.76;2.44;0.38;0.00;0.00;0.00;0.00;7942760.00;2575944.00;159430.00;0.00;619912.00;151728.80;0.00;0.00;
100 uE;Chlamy;5;4.60;0.00;0.05;0.00;0.00;0.00;0.00;108.12;4.50;0.00;0.66;0.00;0.31;1.07;0.08;0.00;12.74;7.60;1.49;0.81;0.38;0.00;0.00;14.93;12.59;1.92;0.59;0.00;0.00;0.00;0.00;14.19;3.95;1.09;0.00;43.95;1.35;0.00;0.00;0.00;60.68;5.58;0.00;0.00;0.00;45.47;4.64;13.29;0.00;0.00;0.00;0.00;8.44;3.15;2.26;0.27;0.00;0.00;0.00;20.11;4.41;1.98;0.00;0.00;0.00;0.00;14.28;0.32;0.00;0.00;0.00;0.00;0.88;0.00;0.00;0.00;0.00;0.00;2.17;0.00;1.15;0.00;0.00;0.00;54.68;0.00;0.37;0.00;0.00;99.15;35.32;5.17;1.61;1.52;0.00;28.98;0.56;0.00;0.00;0.00;0.00;0.00;2.41;2.03;0.31;0.09;0.00;0.00;0.00;0.00;1842148.00;611760.00;10661.64;0.00;191817.20;25066.88;0.00;0.00;
100 uE;Chlamy;10;10.66;0.60;0.78;0.23;0.05;0.00;0.00;222.39;7.86;0.00;0.00;0.00;0.00;2.48;0.30;0.00;31.09;28.99;14.14;1.72;0.17;0.00;0.22;47.02;45.66;17.30;8.55;0.61;1.99;0.50;0.00;27.91;14.11;2.09;0.78;113.28;7.71;0.32;0.22;0.00;142.15;8.04;1.11;0.00;0.58;154.96;31.35;25.18;0.00;0.25;0.16;0.00;45.55;17.29;5.52;1.90;0.48;0.00;0.00;27.16;9.65;3.10;0.22;0.00;0.00;0.00;12.29;0.00;0.00;0.00;0.00;0.00;7.10;2.04;0.78;0.09;0.00;0.00;7.00;6.35;0.69;0.00;0.00;0.00;52.74;0.26;0.00;0.00;0.00;283.50;162.53;28.19;4.73;1.31;1.50;66.80;2.91;0.00;0.00;0.00;0.00;0.00;45.18;29.12;13.45;3.19;1.01;0.00;0.00;0.00;11647400.00;6100160.00;459184.00;93717.60;1142168.00;489004.00;0.00;4623.96;
100 uE;Chlamy;10;9.86;1.14;1.12;0.00;0.00;0.00;0.00;225.43;5.58;0.00;0.86;0.00;0.32;2.71;0.04;0.13;25.87;29.69;10.10;2.40;0.24;0.34;0.22;27.56;26.31;21.37;2.27;3.10;0.00;0.00;0.00;15.16;8.45;3.75;0.00;98.08;5.57;0.19;0.00;0.09;110.53;10.70;0.00;0.00;0.00;76.52;15.47;16.98;0.00;0.01;0.00;0.00;12.74;8.35;15.79;0.00;0.00;0.00;0.00;19.20;7.23;2.90;0.31;0.00;0.00;0.00;36.63;0.00;0.25;0.00;0.00;0.00;2.26;1.38;0.25;0.00;0.00;0.00;1.71;2.14;1.08;0.00;0.00;0.00;248.03;0.00;0.00;0.00;0.00;164.32;111.62;19.88;7.31;1.27;2.71;50.29;0.51;0.00;0.28;0.00;0.00;0.00;4.45;4.24;3.45;0.37;0.50;0.00;0.00;0.00;3788816.00;2120516.00;131968.40;0.00;233651.60;57105.60;0.00;0.00;
100 uE;Chlamy;10;7.04;1.23;0.00;0.05;0.00;0.00;0.00;895.02;8.37;0.00;0.52;0.00;0.23;2.30;0.66;0.00;26.32;17.53;8.00;1.28;0.00;0.35;0.00;19.89;24.34;17.52;6.46;0.00;0.00;0.00;0.00;17.07;9.72;1.73;0.00;73.54;4.57;0.16;0.00;0.00;642.09;18.73;0.00;3.04;0.00;84.04;18.64;9.72;0.17;0.00;0.00;0.00;18.99;3.87;5.91;0.00;0.00;0.00;0.00;21.44;4.28;0.96;0.33;0.00;0.00;0.00;20.92;0.21;0.05;0.00;0.00;0.00;5.57;2.22;0.32;0.00;0.00;0.00;3.58;0.72;0.00;0.00;0.00;0.00;66.46;0.35;0.00;0.00;0.00;167.49;88.85;11.06;0.96;0.00;0.00;58.40;0.21;0.00;0.00;0.00;0.00;0.00;3.21;3.93;2.83;1.04;0.00;0.00;0.00;0.00;3207460.00;1640424.00;51383.20;8578.28;319002.40;129705.60;0.00;0.00;
100 uE;Chlamy;20;6.54;3.75;1.87;0.81;0.10;0.00;0.00;248.26;10.67;0.00;0.00;0.00;0.00;3.34;0.81;0.15;15.06;12.22;10.43;2.78;1.89;0.29;0.00;13.93;13.27;14.45;6.15;6.81;1.54;0.60;0.00;25.92;21.68;4.56;0.53;148.63;13.24;4.35;0.00;0.26;157.39;17.34;5.68;5.44;0.00;126.97;47.74;65.27;6.74;1.16;0.12;0.30;35.25;26.19;28.23;2.42;2.11;0.07;0.00;26.72;13.33;10.38;2.63;0.41;0.00;0.05;13.77;0.35;0.14;0.09;0.00;0.00;3.39;4.04;2.67;0.78;1.43;0.00;3.91;8.24;2.98;0.76;0.00;0.00;85.69;0.00;0.00;0.00;0.00;120.12;120.19;53.32;25.39;5.35;2.69;70.05;1.52;0.00;0.01;0.00;0.00;0.00;22.70;30.78;28.48;14.47;3.23;0.06;0.01;0.00;7038040.00;6333720.00;1165112.00;240233.60;719244.00;577952.00;25096.48;1046.33;
100 uE;Chlamy;20;9.33;3.32;2.12;0.49;0.08;0.05;0.00;331.93;13.62;0.00;0.00;0.00;0.00;2.24;0.27;0.22;19.15;20.90;15.52;6.78;1.26;0.13;0.00;17.73;45.16;38.86;16.50;0.88;4.25;0.00;0.00;22.09;20.31;6.43;0.21;145.39;15.52;3.06;0.62;0.27;254.19;27.58;2.43;0.00;0.00;149.52;54.32;39.09;9.50;1.96;0.00;0.00;29.64;18.86;0.00;4.25;2.18;0.00;0.00;21.51;6.09;3.13;0.85;0.26;0.04;0.00;17.29;0.42;0.12;0.00;0.00;0.00;8.48;2.29;2.46;0.40;2.44;0.16;7.80;5.93;1.32;0.63;0.00;0.00;64.14;1.31;0.00;0.00;0.00;182.29;151.65;64.51;23.36;5.39;0.60;78.06;5.21;0.69;0.67;0.22;0.00;0.00;26.07;37.62;33.15;14.33;4.41;1.22;0.35;0.00;8210600.00;6375120.00;1224188.00;327297.60;578340.00;360831.60;32429.48;6001.80;
100 uE;Chlamy;20;4.58;2.71;2.32;0.15;0.12;0.00;0.00;258.79;5.51;6.77;0.98;0.00;0.00;5.53;0.32;0.00;13.86;12.59;12.04;3.23;0.40;0.00;0.00;7.24;29.98;18.63;11.22;2.33;0.15;0.00;0.00;13.62;10.51;3.28;0.46;64.68;10.52;1.97;0.00;0.50;97.61;18.69;0.00;2.48;0.00;63.15;21.37;20.29;2.53;0.00;0.00;0.00;9.81;8.37;7.76;3.01;0.32;0.17;0.00;7.88;4.05;3.56;1.08;0.04;0.00;0.00;11.24;0.75;0.00;0.00;0.00;0.00;2.69;0.97;0.76;0.00;0.00;0.00;2.59;1.78;2.35;1.04;0.35;0.00;32.27;0.14;0.00;0.00;0.00;90.60;95.25;40.66;15.69;2.29;0.43;62.86;3.39;0.00;0.00;0.00;0.00;0.00;1.17;4.84;3.01;1.81;0.38;0.02;0.00;0.00;2276856.00;1766348.00;443308.00;89147.60;95240.00;65766.40;2717.16;0.00;
100 uE;Chlamy;40;2.41;1.73;1.31;0.92;0.10;0.24;0.00;185.15;1.97;2.40;0.00;0.00;0.00;1.42;0.45;0.19;3.00;7.16;4.99;3.17;2.17;0.92;0.30;4.23;7.94;3.72;11.15;1.99;2.57;2.30;0.00;10.87;14.10;5.41;1.23;60.24;6.58;4.85;1.24;0.55;136.53;19.85;7.97;0.32;0.00;52.55;23.92;37.67;11.43;6.50;0.14;0.16;15.25;9.55;18.01;3.66;1.98;0.15;0.00;19.57;9.29;10.84;4.09;2.14;0.20;0.05;17.38;0.35;0.11;0.00;0.00;0.00;2.07;0.45;1.14;0.11;1.03;0.00;2.27;2.93;1.96;1.48;1.14;0.00;44.38;0.00;0.00;0.00;0.00;45.02;62.43;43.25;29.90;6.85;1.73;52.68;0.32;0.00;0.33;0.42;0.00;0.00;6.40;9.31;14.18;10.48;6.45;2.19;0.54;0.00;3522384.00;2604508.00;1186348.00;296161.20;267362.40;218319.60;96834.80;2707.55;
100 uE;Chlamy;40;1.77;3.75;2.34;1.62;0.10;0.00;0.00;261.02;6.25;1.04;0.39;0.00;0.84;1.78;0.38;0.00;4.61;9.07;5.36;4.72;3.74;0.69;0.08;1.54;8.36;6.72;4.54;3.81;4.71;0.00;0.00;7.13;8.53;4.99;1.06;47.65;5.02;2.03;1.44;0.00;108.27;27.34;5.30;1.54;0.00;43.54;25.08;20.32;6.75;3.24;0.28;0.00;6.58;2.60;13.47;3.28;0.97;0.00;0.00;10.99;3.11;4.65;1.44;0.69;0.09;0.00;9.24;0.00;0.00;0.00;0.00;0.00;1.92;0.48;1.00;0.36;0.00;0.00;1.22;1.83;0.00;0.00;0.00;0.00;25.22;0.19;0.00;0.00;0.00;59.44;62.33;44.13;25.57;7.04;1.97;50.37;2.23;0.08;0.27;0.17;0.00;0.01;0.25;1.35;1.08;0.73;0.62;0.76;0.00;0.00;1311676.00;1278692.00;534984.00;252269.60;25141.72;77108.00;6157.60;3599.02;
100 uE;Chlamy;40;0.88;1.36;1.20;0.19;0.05;0.08;0.00;96.81;4.51;0.13;0.00;0.00;0.00;0.88;0.10;0.23;6.24;4.54;1.82;0.76;0.42;0.78;0.10;3.28;3.62;2.30;4.18;1.83;0.91;0.38;0.00;1.59;6.57;4.46;0.64;39.60;5.62;1.12;0.39;0.17;137.66;8.01;0.00;1.10;0.00;20.39;16.13;27.19;5.19;3.27;0.08;0.04;4.33;3.16;0.00;2.55;4.16;0.14;0.00;6.39;3.51;4.54;2.17;1.03;0.10;0.02;12.64;0.99;0.00;0.00;0.00;0.00;3.27;0.59;0.35;0.12;1.25;0.00;2.42;0.68;1.86;0.70;1.39;0.00;33.16;0.00;0.00;0.00;0.00;69.46;35.01;25.89;11.94;3.85;0.41;13.78;0.96;0.19;0.23;0.09;0.03;0.04;1.82;6.23;9.37;5.71;3.93;1.14;0.10;0.00;2389676.00;1658136.00;677404.00;143939.20;66393.60;138816.80;48216.80;2784.44;
100 uE;Sorokiniana;0;37.07;0.00;0.00;0.00;0.00;0.00;0.00;3212.24;4.89;0.00;0.00;1.13;0.15;4.65;0.00;0.00;124.37;0.00;0.00;0.00;0.00;0.00;0.00;110.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;60.18;0.09;0.00;0.00;2291.05;8.47;0.00;0.00;0.00;2341.81;80.68;0.00;0.00;0.00;600.14;0.00;0.00;0.00;0.00;0.00;0.00;144.87;0.01;0.00;0.00;0.00;0.00;0.00;160.71;0.57;0.00;0.00;0.00;0.00;0.00;82.54;2.22;0.00;0.00;0.00;0.00;20.71;0.59;0.00;0.00;0.00;0.00;58.34;0.00;0.00;0.00;0.00;0.00;102.74;0.11;0.00;0.00;0.00;2552.76;2.53;0.00;0.00;0.00;0.00;210.08;0.00;0.00;0.00;0.00;0.00;0.00;17.77;0.00;0.00;0.00;0.00;0.00;0.00;0.00;36072120.00;61928.00;0.00;0.00;2388452.00;0.00;0.00;0.00;
100 uE;Sorokiniana;0;22.77;0.00;0.00;0.00;0.00;0.00;0.00;2920.88;8.26;0.00;0.00;0.00;0.00;7.24;0.00;0.00;86.19;0.91;0.00;0.41;0.23;0.23;0.00;95.88;0.00;0.00;0.00;0.00;0.00;0.00;0.00;77.93;0.20;0.00;0.00;2603.04;1.08;0.00;0.00;0.00;3816.03;65.65;0.00;0.00;0.00;946.04;0.00;0.00;0.00;0.00;0.00;0.00;301.71;0.00;4.21;0.00;0.00;0.00;0.00;201.59;0.00;0.00;0.00;0.00;0.00;0.00;45.14;0.00;0.00;0.04;0.00;0.00;51.39;0.78;0.10;0.23;0.00;0.00;104.28;0.00;0.00;0.00;0.00;0.00;72.22;0.00;0.00;0.00;0.00;1949.55;25.56;0.00;0.00;0.00;0.00;195.88;0.00;0.00;0.00;0.00;0.00;0.00;223.09;0.00;0.00;0.00;0.00;0.00;0.00;0.00;94544000.00;76773.60;0.00;0.00;14725040.00;0.00;0.00;0.00;
100 uE;Sorokiniana;0;33.36;0.00;0.09;0.00;0.00;0.00;0.00;3577.74;0.00;0.00;0.14;0.00;0.26;6.18;0.00;0.00;109.72;0.00;0.00;0.17;0.00;0.00;0.00;104.16;5.60;0.00;0.00;0.00;0.00;0.00;0.00;55.96;0.00;0.00;0.00;2188.80;0.00;0.00;0.00;0.00;2971.31;86.91;0.00;0.00;0.00;666.54;0.00;0.00;0.00;0.00;0.00;0.00;157.80;2.77;0.00;0.00;0.00;0.00;0.00;109.48;0.23;0.00;0.00;0.00;0.00;0.00;103.93;0.00;0.00;0.00;0.00;0.00;20.84;0.58;0.00;0.00;0.00;0.00;64.17;0.00;0.00;0.00;0.00;0.00;33.09;0.00;0.00;0.00;0.00;1872.25;6.02;0.00;0.66;0.00;0.00;196.93;0.00;0.00;0.00;0.00;0.00;0.00;16.81;0.90;0.00;0.00;0.00;0.00;0.00;0.00;40528000.00;0.00;0.00;0.00;3529768.00;30720.60;0.00;0.00;
100 uE;Sorokiniana;5;20.26;1.87;0.00;0.00;0.00;0.00;0.00;2650.91;30.93;0.00;0.00;0.00;0.00;13.61;0.13;0.00;130.00;26.27;2.09;0.14;0.65;0.32;0.10;44.94;13.78;4.81;0.00;1.58;0.00;0.00;0.00;70.25;16.74;1.41;0.00;2945.79;24.42;0.00;0.00;0.29;3089.82;74.26;0.00;0.00;0.00;483.10;32.75;16.00;0.00;0.00;0.00;0.00;159.35;25.91;11.12;0.00;0.13;0.00;0.00;109.46;17.82;2.55;0.04;0.00;0.00;0.00;46.56;0.70;0.19;0.07;0.00;0.00;30.29;3.84;0.10;0.30;0.00;0.00;88.60;10.19;0.00;1.20;0.00;0.00;92.51;1.12;0.00;0.00;0.00;4164.28;290.67;0.00;1.90;1.53;0.06;184.67;0.00;0.00;0.00;0.00;0.00;0.00;73.31;32.61;11.25;1.03;0.37;0.00;0.00;0.00;81538800.00;7001640.00;0.00;0.00;6856920.00;1147932.00;0.00;4350.56;
100 uE;Sorokiniana;5;30.12;0.00;0.08;0.00;0.00;0.00;0.00;2936.97;8.13;0.00;0.00;0.00;0.49;5.39;0.00;0.00;50.58;12.77;0.00;0.84;0.00;0.00;0.00;72.35;3.17;0.00;0.00;0.00;0.00;0.00;0.00;43.52;3.98;0.14;0.00;1415.04;10.98;0.00;0.00;0.00;2800.55;64.28;0.00;0.64;0.00;527.69;20.51;0.00;0.00;0.00;0.00;0.00;113.85;5.21;5.11;0.00;0.00;0.00;0.00;90.53;5.66;0.18;0.00;0.02;0.00;0.00;71.22;3.14;0.52;0.00;0.00;0.00;15.30;2.66;0.00;0.77;0.00;0.00;31.56;2.06;0.00;1.82;0.00;0.00;93.75;0.00;0.00;0.00;0.00;1494.25;125.65;0.00;0.70;0.56;0.00;172.03;0.00;0.00;0.27;0.00;0.00;0.00;11.67;0.51;0.00;0.00;0.00;0.00;0.00;0.00;29899040.00;2376208.00;0.00;0.00;2884760.00;235483.20;990.46;0.00;
100 uE;Sorokiniana;5;17.83;0.00;0.00;0.03;0.00;0.00;0.00;1724.14;10.84;0.11;0.48;0.00;0.80;1.91;0.08;0.00;36.99;7.25;1.78;0.87;0.00;0.00;0.00;23.77;3.36;0.00;0.00;0.00;0.00;0.00;0.00;23.60;1.62;0.75;0.44;646.72;8.56;0.48;0.29;0.02;1281.87;56.23;0.00;1.88;0.00;288.79;12.93;9.29;0.00;0.19;0.00;0.00;55.14;5.81;6.73;0.00;0.17;0.00;0.00;77.48;0.00;0.92;0.00;0.05;0.00;0.00;32.08;1.28;0.00;0.00;0.00;0.00;6.00;1.08;0.00;0.00;0.00;0.00;10.02;0.47;0.29;0.00;0.00;0.00;34.87;0.00;0.00;0.00;0.00;951.72;77.78;4.34;1.65;0.00;0.00;91.19;0.11;0.00;0.00;0.00;0.00;0.00;3.84;0.54;0.00;0.00;0.00;0.00;0.00;0.00;17983680.00;1359524.00;0.00;0.00;1348876.00;130808.40;0.00;0.00;
100 uE;Sorokiniana;10;15.99;0.95;0.00;0.00;0.15;0.00;0.00;2011.22;7.04;0.00;0.00;0.00;0.00;4.26;0.13;0.09;35.82;17.64;0.00;0.27;0.06;0.00;0.00;34.16;18.83;3.26;0.00;0.00;0.00;0.00;0.00;45.44;14.20;0.00;0.54;1428.46;17.71;0.00;0.00;0.00;2493.11;75.63;0.00;0.00;0.00;534.83;35.49;9.81;0.00;0.65;0.00;0.00;153.02;38.40;15.33;0.00;0.03;0.00;0.00;106.20;21.72;5.38;0.00;0.01;0.00;0.00;25.00;0.69;0.00;0.00;0.00;0.00;16.72;3.93;0.34;0.00;1.23;0.00;41.63;10.26;0.00;0.00;0.00;0.00;42.74;0.04;0.02;0.00;0.00;1863.44;389.77;21.67;0.00;0.00;0.13;116.70;0.96;0.00;0.10;0.00;0.00;0.00;79.66;42.51;11.75;0.00;0.37;0.00;0.00;0.00;59799600.00;6799240.00;0.00;0.00;5629960.00;1049316.00;0.00;0.00;
100 uE;Sorokiniana;10;30.18;6.17;0.62;0.00;0.00;0.00;0.00;2761.66;0.00;0.00;0.00;0.00;0.81;8.62;0.44;0.00;154.85;82.35;17.74;0.00;0.00;0.37;0.00;32.21;22.81;13.60;6.94;0.12;0.00;0.00;0.00;66.82;31.53;4.15;0.00;2568.53;32.56;3.53;0.00;0.05;1919.61;75.45;0.00;0.94;0.00;280.32;46.55;22.83;1.97;0.00;0.00;0.00;57.56;32.87;18.13;0.93;0.26;0.35;0.00;66.61;27.63;11.48;0.63;0.06;0.00;0.00;83.89;0.00;0.00;0.00;0.00;0.00;20.88;10.56;1.44;0.33;0.47;0.00;79.36;22.61;2.03;0.00;0.00;0.00;35.15;0.01;0.00;0.00;0.00;3389.07;799.06;118.92;24.62;0.00;0.14;165.98;7.15;0.00;0.00;0.00;0.00;0.00;5.20;3.68;2.20;1.12;0.02;0.00;0.00;0.00;28284240.00;4912520.00;4402.64;29540.56;779928.00;572020.00;0.00;0.00;
100 uE;Sorokiniana;10;19.54;1.63;0.44;0.00;0.00;0.00;0.00;2535.89;12.95;0.00;0.00;0.00;0.00;6.21;0.25;0.00;50.83;37.93;6.35;0.30;0.00;0.14;0.00;21.72;26.09;1.62;2.24;0.00;0.00;0.00;0.00;64.05;31.92;1.96;0.00;1991.51;26.57;3.77;0.00;0.00;2851.38;86.17;0.00;0.00;0.00;463.02;60.35;21.00;0.00;0.35;0.00;0.00;142.26;50.48;19.80;0.68;0.24;0.00;0.00;110.26;33.80;10.22;0.00;0.00;0.00;0.00;33.73;1.44;0.46;0.00;0.00;0.00;18.24;6.59;1.04;0.00;0.75;0.00;42.88;15.82;2.63;0.74;0.11;0.00;37.26;1.07;0.00;0.00;0.00;2579.32;693.85;76.84;7.29;0.00;0.49;139.20;3.62;0.00;0.00;0.11;0.00;0.00;53.99;50.75;23.27;3.79;0.42;0.00;0.04;0.00;55418000.00;9232040.00;0.00;22193.64;5374760.00;2126544.00;1042.38;0.00;
100 uE;Sorokiniana;20;25.00;4.25;0.47;0.00;0.00;0.00;0.00;2572.22;19.77;0.00;0.00;0.25;0.87;4.91;0.08;0.00;32.99;24.97;9.91;0.13;0.00;0.29;0.37;20.03;24.54;11.23;0.00;0.00;0.00;0.00;0.00;34.66;18.09;3.21;0.00;1323.10;31.04;3.93;0.03;0.00;2175.93;100.40;0.00;0.60;0.00;388.14;53.07;19.95;0.15;0.00;0.00;0.00;73.57;32.89;12.04;1.39;1.11;0.00;0.00;87.65;25.27;10.00;0.75;0.14;0.00;0.00;45.47;1.66;0.00;0.00;0.00;0.00;14.15;4.44;2.45;0.00;0.93;0.00;22.76;14.23;5.29;0.74;0.71;0.00;23.23;0.00;0.00;0.00;0.00;1244.07;681.10;146.63;16.80;2.62;0.00;116.92;9.07;0.00;0.00;0.00;0.00;0.00;3.23;3.96;1.81;0.00;0.00;0.00;0.00;0.00;21813760.00;3997504.00;365708.00;0.00;881168.00;293371.60;15753.72;12132.40;
100 uE;Sorokiniana;20;20.11;6.47;2.53;0.00;0.00;0.00;0.00;2675.61;7.92;0.00;0.00;0.00;0.00;9.21;0.78;0.10;67.35;63.11;26.98;4.41;0.74;0.05;0.08;17.22;18.28;12.26;3.57;1.40;0.00;0.00;0.00;58.18;40.92;4.22;0.83;3031.93;56.87;10.77;0.26;0.17;2743.63;63.76;0.00;0.00;0.00;417.15;104.17;83.83;4.64;3.50;0.56;0.13;114.37;60.60;55.85;2.84;2.32;0.36;0.00;77.77;33.34;21.48;4.15;0.60;0.04;0.00;41.21;1.29;0.00;0.01;0.00;0.00;20.07;12.08;5.80;0.48;0.00;0.00;51.64;38.36;8.61;2.66;1.08;0.00;49.20;0.22;0.00;0.00;0.00;2332.78;1579.34;426.53;126.24;0.00;1.66;148.96;12.74;3.85;0.00;0.10;0.00;0.49;30.94;52.93;46.77;17.34;3.29;1.08;0.15;0.00;70587600.00;15422600.00;1546508.00;222410.80;2788984.00;1758280.00;94216.80;0.00;
