#fragment_ID	time (s)	mean	sd
adpglcH_123456	0	0.98993,0.00604,0.00403,0.00000,0.00000,0.00000,0.00000	0.08991,0.07015,0.06241,0.06134,0.00352,0.01799,0.01799
adpglcH_123456	5	0.98120,0.01160,0.00720,0.00000,0.00000,0.00000,0.00000	0.08991,0.07015,0.06241,0.06134,0.00352,0.01799,0.01799
adpglcH_123456	10	0.84165,0.09687,0.05191,0.00823,0.00135,0.00000,0.00000	0.08991,0.07015,0.06241,0.06134,0.00352,0.01799,0.01799
adpglcH_123456	20	0.52339,0.25898,0.17188,0.03633,0.00833,0.00108,0.00000	0.08991,0.07015,0.06241,0.06134,0.00352,0.01799,0.01799
adpglcH_123456	40	0.25932,0.33699,0.25288,0.11891,0.01288,0.01901,0.00000	0.08991,0.07015,0.06241,0.06134,0.00352,0.01799,0.01799
dhapH_123	0	0.99710,0.00290,0.00000,0.00000	0.12509,0.10020,0.08375,0.01003
dhapH_123	5	0.79393,0.16646,0.03960,0.00000	0.12509,0.10020,0.08375,0.01003
dhapH_123	10	0.59145,0.32133,0.08143,0.00579	0.12509,0.10020,0.08375,0.01003
dhapH_123	20	0.47703,0.40091,0.11178,0.01028	0.12509,0.10020,0.08375,0.01003
dhapH_123	40	0.26407,0.44481,0.24578,0.04533	0.12509,0.10020,0.08375,0.01003
dhapC_123	0	0.99710,0.00290,0.00000,0.00000	0.12509,0.10020,0.08375,0.01003
dhapC_123	5	0.79393,0.16646,0.03960,0.00000	0.12509,0.10020,0.08375,0.01003
dhapC_123	10	0.59145,0.32133,0.08143,0.00579	0.12509,0.10020,0.08375,0.01003
dhapC_123	20	0.47703,0.40091,0.11178,0.01028	0.12509,0.10020,0.08375,0.01003
