#fragment_ID	time (s)	mean	sd
dhapC_123	40	0.26407,0.44481,0.24578,0.04533	0.12509,0.10020,0.08375,0.01003
fdpBH_123456	0	0.98978,0.00000,0.00293,0.00539,0.00190,0.00000,0.00000	0.15927,0.07305,0.05335,0.06132,0.05303,0.01455,0.00556
fdpBH_123456	5	0.55512,0.33677,0.08753,0.01173,0.00617,0.00000,0.00269	0.15927,0.07305,0.05335,0.06132,0.05303,0.01455,0.00556
fdpBH_123456	10	0.42505,0.37958,0.16050,0.02711,0.00190,0.00383,0.00203	0.15927,0.07305,0.05335,0.06132,0.05303,0.01455,0.00556
fdpBH_123456	20	0.32748,0.30440,0.25792,0.08274,0.02452,0.00295,0.00000	0.15927,0.07305,0.05335,0.06132,0.05303,0.01455,0.00556
fdpBH_123456	40	0.24230,0.32011,0.18120,0.12161,0.08697,0.04000,0.00782	0.15927,0.07305,0.05335,0.06132,0.05303,0.01455,0.00556
fdpBC_123456	0	0.98978,0.00000,0.00293,0.00539,0.00190,0.00000,0.00000	0.15927,0.07305,0.05335,0.06132,0.05303,0.01455,0.00556
fdpBC_123456	5	0.55512,0.33677,0.08753,0.01173,0.00617,0.00000,0.00269	0.15927,0.07305,0.05335,0.06132,0.05303,0.01455,0.00556
fdpBC_123456	10	0.42505,0.37958,0.16050,0.02711,0.00190,0.00383,0.00203	0.15927,0.07305,0.05335,0.06132,0.05303,0.01455,0.00556
fdpBC_123456	20	0.32748,0.30440,0.25792,0.08274,0.02452,0.00295,0.00000	0.15927,0.07305,0.05335,0.06132,0.05303,0.01455,0.00556
fdpBC_123456	40	0.24230,0.32011,0.18120,0.12161,0.08697,0.04000,0.00782	0.15927,0.07305,0.05335,0.06132,0.05303,0.01455,0.00556
f6pBH_123456	0	0.97651,0.02349,0.00000,0.00000,0.00000,0.00000,0.00000	0.17717,0.06563,0.25981,0.05133,0.14534,0.00499,0.00499
f6pBH_123456	5	0.64203,0.15093,0.20066,0.00637,0.00000,0.00000,0.00000	0.17717,0.06563,0.25981,0.05133,0.14534,0.00499,0.00499
f6pBH_123456	10	0.54980,0.20178,0.23720,0.00895,0.00226,0.00000,0.00000	0.17717,0.06563,0.25981,0.05133,0.14534,0.00499,0.00499
f6pBH_123456	20	0.41558,0.30182,0.18768,0.06843,0.02431,0.00217,0.00000	0.17717,0.06563,0.25981,0.05133,0.14534,0.00499,0.00499
f6pBH_123456	40	0.28678,0.17117,0.29044,0.12502,0.12230,0.00428,0.00000	0.17717,0.06563,0.25981,0.05133,0.14534,0.00499,0.00499
g1pH_123456	0	0.99346,0.00080,0.00573,0.00000,0.00000,0.00000,0.00000	0.10918,0.04838,0.06202,0.02705,0.01256,0.00076,0.00064
g1pH_123456	5	0.79610,0.15774,0.04592,0.00000,0.00024,0.00000,0.00000	0.10918,0.04838,0.06202,0.02705,0.01256,0.00076,0.00064
g1pH_123456	10	0.70612,0.21429,0.07021,0.00939,0.00000,0.00000,0.00000	0.10918,0.04838,0.06202,0.02705,0.01256,0.00076,0.00064
g1pH_123456	20	0.54946,0.22797,0.16882,0.04694,0.00607,0.00042,0.00031	0.10918,0.04838,0.06202,0.02705,0.01256,0.00076,0.00064
g1pH_123456	40	0.43589,0.18237,0.23737,0.09314,0.04575,0.00475,0.00074	0.10918,0.04838,0.06202,0.02705,0.01256,0.00076,0.00064
g6pAH_123456	0	1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000	0.09899,0.03623,0.09604,0.00967,0.00860,0.00100,0.00070
g6pAH_123456	5	0.80591,0.06639,0.12765,0.00000,0.00005,0.00000,0.00000	0.09899,0.03623,0.09604,0.00967,0.00860,0.00100,0.00070
g6pAH_123456	10	0.72666,0.15183,0.12033,0.00050,0.00042,0.00025,0.00000	0.09899,0.03623,0.09604,0.00967,0.00860,0.00100,0.00070
g6pAH_123456	20	0.56248,0.20163,0.20185,0.02935,0.00413,0.00016,0.00040	0.09899,0.03623,0.09604,0.00967,0.00860,0.00100,0.00070
g6pAH_123456	40	0.37264,0.21888,0.28851,0.07539,0.04233,0.00166,0.00059	0.09899,0.03623,0.09604,0.00967,0.00860,0.00100,0.00070
rb15bpH_12345	0	0.98055,0.01945,0.00000,0.00000,0.00000,0.00000	0.12287,0.04806,0.02788,0.03855,0.00545,0.00448
